UAT ID,Wave,Category,Scenario Title,Description,Preconditions,Test Steps,Expected Result,Test Data,Priority,Tester,Test Date,Status,Actual Result,Defects,Comments
P10-UAT-SSO-01,1,SSO Configuration,"Admin configures SSO provider","Admin sets up Azure AD SSO for organisation","Admin user logged in, no SSO configured","1. Navigate to Settings > Integrations > SSO
2. Click 'Configure SSO'
3. Select 'Azure AD' as provider type
4. Enter Client ID, Client Secret, Tenant ID
5. Enter allowed domains
6. Click 'Test Connection'
7. Click 'Save'","SSO provider created, test connection successful, SSO available for org users","Azure AD credentials for test tenant",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-02,1,SSO Configuration,"Admin configures Okta SSO","Admin sets up Okta SSO provider","Admin user logged in","1. Navigate to Settings > Integrations > SSO
2. Click 'Configure SSO'
3. Select 'Okta' as provider type
4. Enter Okta domain, Client ID, Client Secret
5. Configure role mappings
6. Click 'Save'","Okta SSO configured successfully","Okta developer account",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-03,1,SSO Configuration,"Admin configures role mappings","Map IdP groups to EHS roles","SSO provider configured","1. Navigate to SSO settings
2. Click 'Role Mappings' tab
3. Add mapping: 'EHS-Admins' group → Admin role
4. Add mapping: 'EHS-Managers' group → Manager role
5. Add mapping: 'EHS-Workers' group → Worker role
6. Save mappings","Role mappings saved, users get correct role on SSO login","IdP groups: EHS-Admins, EHS-Managers, EHS-Workers",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-04,1,SSO Configuration,"Admin tests SSO connection","Test IdP connectivity before enabling","SSO settings entered but not saved","1. Enter SSO configuration
2. Click 'Test Connection'
3. Wait for result","Test shows success with IdP details returned (issuer, endpoints)","Valid IdP credentials",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-05,1,SSO Configuration,"Admin enables SSO-only mode","Disable password login for org","SSO configured and working","1. Navigate to SSO settings
2. Toggle 'SSO-only mode' ON
3. Confirm warning dialog
4. Save","Warning shown about blocking password login, SSO-only mode enabled","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-06,1,SSO Login,"User logs in via SSO - existing user","Existing user authenticates via SSO","User exists in EHS, SSO configured for org","1. Go to login page
2. Enter email from SSO-enabled org
3. Click 'Sign in with SSO' button
4. Redirected to IdP
5. Enter IdP credentials
6. Authorize application
7. Redirected back to EHS","User logged in successfully, redirected to dashboard, existing user data preserved","Existing user: ssotest@testorg.com",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-07,1,SSO Login,"JIT user provisioning - new user","New user created automatically on first SSO login","SSO configured with JIT enabled, user NOT in EHS","1. New user goes to login page
2. Enter email from SSO-enabled org
3. Click 'Sign in with SSO'
4. Authenticate at IdP
5. Return to EHS","New user account created with role from mapping, user logged in, profile populated from IdP claims","New user: newuser@testorg.com in IdP but not EHS",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-08,1,SSO Login,"SSO login with role mapping","User receives correct role from IdP group","User in 'EHS-Managers' group in IdP, role mapping exists","1. User authenticates via SSO
2. IdP returns groups claim including 'EHS-Managers'
3. EHS processes login","User logged in with Manager role applied","User in IdP with groups: ['EHS-Managers']",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-09,1,SSO Login,"SSO login failure - invalid credentials","User fails IdP authentication","SSO configured","1. Go to login page
2. Enter email from SSO-enabled org
3. Click 'Sign in with SSO'
4. Enter WRONG IdP credentials","IdP shows authentication error, user not logged in to EHS","Invalid IdP password",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-10,1,SSO Login,"SSO login failure - domain not allowed","User from non-allowed domain rejected","SSO configured with domain restriction to testorg.com","1. User from other-domain.com tries SSO login
2. Enters email user@other-domain.com","Error: 'SSO not available for this domain', login blocked","Email: user@other-domain.com",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-11,1,SSO Login,"Password login blocked in SSO-only mode","User cannot use password when SSO-only","SSO-only mode enabled for org","1. Go to login page
2. Enter email from SSO-only org
3. Try to enter password","Password field hidden or disabled, only SSO button shown, message explains SSO-only","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-SSO-12,1,SSO Logout,"User logs out from SSO session","SSO logout terminates IdP session","User logged in via SSO","1. Click profile menu
2. Click 'Sign Out'
3. Confirm logout","User logged out of EHS, optionally redirected to IdP logout","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-API-01,2,API Client Management,"Admin creates API client","Create new API client with scopes","Admin logged in","1. Navigate to Settings > Integrations > API Clients
2. Click 'Create API Client'
3. Enter name: 'External Integration'
4. Enter description
5. Select scopes: incidents:read, incidents:write
6. Set rate limit tier: Standard
7. Click 'Create'","API client created, API key displayed ONCE with copy button, warning to save key","",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-API-02,2,API Client Management,"Admin views API key only once","API key shown only at creation","Admin logged in","1. Create new API client
2. Copy displayed API key
3. Close modal
4. View API client details","Full API key only shown at creation, details page shows only masked key (ehs_live_xxx...)",Key format: ehs_live_{prefix}_{random},Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-API-03,2,API Client Management,"Admin regenerates API key","Generate new key, invalidate old","API client exists","1. Navigate to API client details
2. Click 'Regenerate Key'
3. Confirm warning about invalidating old key
4. Copy new key","New key generated and displayed, old key invalidated, new key works, old key returns 401","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-API-04,2,API Client Management,"Admin suspends API client","Temporarily disable API access","API client active","1. Navigate to API client details
2. Click 'Suspend'
3. Confirm action","Client status changed to 'Suspended', API calls return 401 with 'suspended' message","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-API-05,2,API Client Management,"Admin reactivates API client","Restore suspended client","API client suspended","1. Navigate to API client details
2. Click 'Reactivate'","Client status changed to 'Active', API key works again","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-API-06,2,API Client Management,"Admin revokes API client","Permanently revoke API access","API client exists","1. Navigate to API client details
2. Click 'Revoke'
3. Confirm permanent action","Client status changed to 'Revoked', cannot be reactivated, API calls return 401","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-API-07,2,API Client Management,"Admin updates API client scopes","Modify granted scopes","API client exists with incidents:read","1. Edit API client
2. Add scope: actions:read
3. Remove scope: incidents:read
4. Save","Scopes updated, API can now read actions but not incidents","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-API-08,2,API Client Management,"Admin views API client usage stats","View request count and last used","API client with usage history","1. Navigate to API client details
2. View statistics section","Shows: Total requests, Last used date/time, Requests by endpoint","API client used for 50+ requests",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-01,2,Public API,"API call - list incidents","External system fetches incidents via API","API client with incidents:read scope","1. Call GET /api/public/v1/incidents
2. Include header: X-API-Key: {key}
3. Verify response","200 OK, JSON array of incidents for client's organisation, pagination metadata included","Valid API key",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-02,2,Public API,"API call - create incident","External system creates incident via API","API client with incidents:write scope","1. Call POST /api/public/v1/incidents
2. Include X-API-Key header
3. Send JSON body with incident data
4. Verify response","201 Created, incident created in database, ID returned, appears in EHS UI","{title: 'API Test', type_id: 1, severity: 'high'}",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-03,2,Public API,"API call - unauthorized (no key)","API rejects request without API key","API endpoint exists","1. Call GET /api/public/v1/incidents
2. Do NOT include X-API-Key header","401 Unauthorized, error message: 'API key required'","",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-04,2,Public API,"API call - invalid API key","API rejects invalid key","API endpoint exists","1. Call GET /api/public/v1/incidents
2. Include header: X-API-Key: invalid_key_here","401 Unauthorized, error message: 'Invalid API key'","Key: invalid_key_here",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-05,2,Public API,"API call - insufficient scope","API rejects call missing required scope","API client with ONLY incidents:read scope","1. Call POST /api/public/v1/incidents (requires incidents:write)
2. Include valid API key","403 Forbidden, error message: 'Insufficient scope' or 'incidents:write required'","API client without incidents:write",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-06,2,Public API,"Rate limiting - standard tier","API enforces rate limits","API client with Standard tier (1000/min)","1. Make 1000 rapid API calls
2. Make 1 more call","First 1000 succeed, 1001st returns 429 Too Many Requests with Retry-After header","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-07,2,Public API,"Rate limit headers present","API returns rate limit info","API client exists","1. Make any API call
2. Check response headers","Headers present: X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Reset","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-08,2,Public API,"Multi-tenant isolation","API only returns own org's data","API clients for Org A and Org B","1. API client for Org A calls GET /api/public/v1/incidents
2. API client for Org B calls GET /api/public/v1/incidents","Each client only sees their own organisation's incidents, no cross-tenant data","Two orgs with different incidents",Critical,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-09,2,Public API,"API call - list actions","Fetch corrective actions via API","API client with actions:read","1. Call GET /api/public/v1/actions
2. Include valid API key","200 OK, JSON array of actions","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-10,2,Public API,"API call - list risks","Fetch risk register via API","API client with risks:read","1. Call GET /api/public/v1/risks
2. Include valid API key","200 OK, JSON array of risks","",High,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
P10-UAT-PUB-11,2,Public API,"API call - list users","Fetch user directory via API","API client with users:read","1. Call GET /api/public/v1/users
2. Include valid API key","200 OK, JSON array of users (limited fields: id, name, email, role)","",Medium,,,☐ Pass / ☐ Fail / ☐ Blocked,,,
